Timestamp,Sender Number,Receiver Number,Message Length (characters)
2025-03-27 22:00:28,+1-507-597-3447,+1-747-426-4721,469
2025-03-27 22:02:37,+1-266-822-6008,+1-413-314-9945,36
2025-03-27 22:03:32,+1-423-359-1828,+1-476-846-2006,191
2025-03-27 22:03:40,+1-459-784-0317,+1-688-155-1324,698
2025-03-27 22:07:53,+1-856-579-1136,+1-462-228-1770,399
2025-03-27 22:11:19,+1-673-664-8733,+1-793-771-7650,542
2025-03-27 22:18:59,+1-330-208-3592,+1-304-041-3913,219
2025-03-27 22:19:32,+1-407-721-9006,+1-823-327-2664,469
2025-03-27 22:19:47,+1-878-935-4204,+1-325-522-9169,111
2025-03-27 22:31:06,+1-347-003-6863,+1-594-874-5328,286
2025-03-27 22:43:00,+1-838-761-9900,+1-992-815-1284,386
2025-03-27 22:48:46,+1-423-530-2854,+1-550-675-3535,210
2025-03-27 22:53:18,+1-726-289-8993,+1-465-762-6841,224
2025-03-27 22:56:42,+1-449-235-0808,+1-520-969-7579,77
2025-03-27 22:56:51,+1-668-393-4855,+1-635-389-0700,444
2025-03-27 22:59:03,+1-524-395-9860,+1-374-896-8527,660
2025-03-27 22:59:03,+1-501-104-7385,+1-470-745-1391,23
2025-03-27 23:20:18,+1-509-336-4537,+1-520-633-3360,553
2025-03-27 23:23:26,+1-388-505-9646,+1-736-803-3518,558
2025-03-27 23:23:54,+1-855-031-8128,+1-277-818-8953,510
2025-03-27 23:28:21,+1-435-328-6556,+1-848-277-4384,542
2025-03-27 23:39:50,+1-214-026-1265,+1-821-649-6861,190
2025-03-27 23:52:45,+1-944-234-1502,+1-824-878-6737,449
2025-03-27 23:55:22,+1-936-842-0747,+1-408-399-7314,510
2025-03-27 23:55:32,+1-865-849-9475,+1-437-289-8960,393
2025-03-27 23:57:01,+1-772-324-3881,+1-322-799-5579,266
2025-03-27 23:59:42,+1-314-335-0108,+1-494-833-8043,250
2025-03-28 00:03:28,+1-562-450-3770,+1-300-120-6187,481
2025-03-28 00:07:18,+1-383-426-0669,+1-317-782-1518,691
2025-03-28 00:09:46,+1-325-522-9169,+1-638-812-4154,570
2025-03-28 00:17:51,+1-437-289-8960,+1-492-934-6201,352
2025-03-28 00:20:31,+1-351-378-2132,+1-962-339-8746,28
2025-03-28 00:21:32,+1-569-242-7213,+1-322-799-5579,463
2025-03-28 00:27:50,+1-990-487-2872,+1-842-826-5470,425
2025-03-28 00:30:00,+1-994-621-1454,+1-747-426-4721,477
2025-03-28 00:33:16,+1-948-847-2743,+1-477-842-8900,286
2025-03-28 00:33:17,+1-516-493-1358,+1-612-254-9939,659
2025-03-28 00:48:47,+1-884-032-0989,+1-846-914-6156,231
2025-03-28 00:59:41,+1-749-767-7469,+1-310-300-3799,570
2025-03-28 01:01:14,+1-989-851-0954,+1-575-178-5391,387
2025-03-28 01:01:35,+1-368-841-2878,+1-454-685-1387,354
2025-03-28 01:11:54,+1-438-498-3154,+1-254-401-6248,159
2025-03-28 01:26:43,+1-275-601-5225,+1-857-125-4115,89
2025-03-28 01:27:53,+1-982-253-5098,+1-625-446-7259,324
2025-03-28 01:31:56,+1-750-367-0845,+1-514-212-7302,373
2025-03-28 01:34:16,+1-211-518-6743,+1-624-179-5443,320
2025-03-28 01:38:04,+1-542-624-4225,+1-857-331-2783,672
2025-03-28 01:40:40,+1-383-426-0669,+1-316-130-7263,301
2025-03-28 01:44:36,+1-388-505-9646,+1-848-277-4384,95
2025-03-28 01:44:57,+1-286-592-5133,+1-663-898-8447,214
2025-03-28 01:46:52,+1-876-556-4954,+1-627-428-3765,65
2025-03-28 01:58:48,+1-501-104-7385,+1-887-209-9076,330
2025-03-28 02:01:46,+1-930-935-9130,+1-388-505-9646,25
2025-03-28 02:02:29,+1-785-306-9943,+1-911-063-9296,337
2025-03-28 02:08:58,+1-446-843-1527,+1-454-685-1387,416
2025-03-28 02:19:13,+1-638-812-4154,+1-749-767-7469,50
2025-03-28 02:22:24,+1-200-323-7519,+1-834-916-3625,80
2025-03-28 02:26:33,+1-482-706-2133,+1-459-887-2836,49
2025-03-28 02:32:37,+1-848-277-4384,+1-894-806-6645,407
2025-03-28 02:33:03,+1-677-985-2493,+1-953-958-0321,375
2025-03-28 02:40:09,+1-248-793-6100,+1-394-915-2754,427
2025-03-28 02:42:17,+1-887-209-9076,+1-927-755-4117,564
2025-03-28 02:43:18,+1-588-926-8473,+1-318-890-4407,650
2025-03-28 02:51:09,+1-479-882-9996,+1-593-990-7621,59
2025-03-28 02:58:14,+1-509-216-6464,+1-970-649-6943,568
2025-03-28 02:59:18,+1-443-117-9241,+1-803-536-4165,74
2025-03-28 02:59:18,+1-931-556-5502,+1-594-874-5328,512
2025-03-28 03:00:47,+1-772-274-3223,+1-347-741-4846,376
2025-03-28 03:09:56,+1-274-848-0645,+1-485-324-2586,177
2025-03-28 03:13:44,+1-587-752-3881,+1-511-785-3928,568
2025-03-28 03:15:15,+1-601-962-4142,+1-617-163-6008,298
2025-03-28 03:22:30,+1-727-779-1673,+1-957-757-7784,547
2025-03-28 03:27:12,+1-731-295-2841,+1-854-370-3402,65
2025-03-28 03:30:16,+1-916-625-3100,+1-852-196-6608,683
2025-03-28 03:31:30,+1-686-761-2814,+1-512-019-3568,504
2025-03-28 03:33:53,+1-368-109-0734,+1-994-203-1998,230
2025-03-28 03:36:30,+1-467-255-6319,+1-588-926-8473,416
2025-03-28 03:39:17,+1-603-979-4948,+1-727-779-1673,678
2025-03-28 03:49:20,+1-907-077-0700,+1-613-147-7669,127
2025-03-28 03:53:41,+1-254-548-8411,+1-802-264-7659,97
2025-03-28 03:55:24,+1-939-660-6457,+1-932-156-0196,127
2025-03-28 03:55:35,+1-822-656-3476,+1-747-426-4721,384
2025-03-28 03:57:09,+1-680-806-3941,+1-347-741-4846,505
2025-03-28 04:01:29,+1-200-323-7519,+1-427-600-6151,565
2025-03-28 04:05:56,+1-716-795-8555,+1-417-983-6159,16
2025-03-28 04:16:31,+1-871-615-7313,+1-321-718-2189,590
2025-03-28 04:19:01,+1-505-639-3142,+1-530-220-1574,201
2025-03-28 04:25:44,+1-772-324-3881,+1-254-401-6248,616
2025-03-28 04:25:49,+1-227-419-5337,+1-713-471-2898,635
2025-03-28 04:26:45,+1-222-683-3872,+1-402-470-0129,389
2025-03-28 04:27:43,+1-514-212-7302,+1-317-782-1518,251
2025-03-28 04:31:33,+1-802-264-7659,+1-570-611-6399,146
2025-03-28 04:32:22,+1-567-492-7139,+1-483-545-6424,310
2025-03-28 04:37:23,+1-901-412-4845,+1-772-182-9889,355
2025-03-28 04:49:00,+1-736-925-0672,+1-886-342-6439,14
2025-03-28 05:02:37,+1-877-354-7289,+1-500-604-1285,362
2025-03-28 05:07:50,+1-823-327-2664,+1-543-873-0490,13
2025-03-28 05:07:59,+1-735-103-7052,+1-660-842-9967,664
2025-03-28 05:08:14,+1-780-996-6966,+1-582-840-7228,568
2025-03-28 05:09:56,+1-485-861-3158,+1-722-254-8299,441
2025-03-28 05:11:43,+1-419-115-0651,+1-620-745-7526,288
2025-03-28 05:22:14,+1-589-101-0759,+1-825-003-7017,14
2025-03-28 05:28:42,+1-562-450-3770,+1-593-413-5362,70
2025-03-28 05:38:54,+1-556-822-3878,+1-729-272-7180,582
2025-03-28 05:39:12,+1-502-875-4056,+1-485-861-3158,562
2025-03-28 05:41:23,+1-681-178-1955,+1-603-979-4948,110
2025-03-28 05:43:10,+1-223-326-1695,+1-243-939-7757,120
2025-03-28 05:44:42,+1-970-649-6943,+1-413-521-4948,30
2025-03-28 05:44:52,+1-556-271-2805,+1-250-046-1486,375
2025-03-28 05:50:38,+1-932-563-8937,+1-390-017-9983,472
2025-03-28 05:56:13,+1-919-265-9317,+1-638-812-4154,403
2025-03-28 05:57:36,+1-869-409-4141,+1-877-354-7289,14
2025-03-28 06:05:13,+1-318-890-4407,+1-835-458-8091,424
2025-03-28 06:06:45,+1-470-751-2903,+1-372-617-8977,448
2025-03-28 06:11:19,+1-678-942-4053,+1-948-847-2743,486
2025-03-28 06:17:34,+1-263-019-8611,+1-990-487-2872,476
2025-03-28 06:20:23,+1-305-732-2735,+1-747-729-2554,566
2025-03-28 06:20:26,+1-722-254-8299,+1-275-401-9193,182
2025-03-28 06:23:12,+1-515-785-5310,+1-223-326-1695,515
2025-03-28 06:23:31,+1-514-212-7302,+1-944-545-5905,89
2025-03-28 06:25:40,+1-556-271-2805,+1-317-782-1518,115
2025-03-28 06:34:13,+1-793-771-7650,+1-603-277-4873,251
2025-03-28 06:35:29,+1-206-362-2809,+1-688-155-1324,250
2025-03-28 06:37:58,+1-994-203-1998,+1-462-228-1770,694
2025-03-28 06:50:13,+1-482-706-2133,+1-426-903-8293,564
2025-03-28 06:51:33,+1-852-196-6608,+1-337-943-0697,451
2025-03-28 06:58:26,+1-362-052-4760,+1-692-416-6317,193
2025-03-28 07:06:06,+1-507-370-8460,+1-953-199-4934,413
2025-03-28 07:08:53,+1-335-099-8261,+1-324-476-5397,316
2025-03-28 07:09:08,+1-539-040-1426,+1-884-032-0989,395
2025-03-28 07:25:27,+1-512-602-2354,+1-443-117-9241,551
2025-03-28 07:26:34,+1-712-918-3492,+1-406-281-1458,580
2025-03-28 07:28:29,+1-613-620-6603,+1-673-217-8824,545
2025-03-28 07:28:45,+1-218-561-6433,+1-886-760-3795,477
2025-03-28 07:30:55,+1-727-779-1673,+1-622-320-6348,288
2025-03-28 07:32:13,+1-772-182-9889,+1-543-873-0490,665
2025-03-28 07:37:06,+1-359-262-5778,+1-304-041-3913,596
2025-03-28 07:39:41,+1-700-256-2983,+1-747-729-2554,356
2025-03-28 07:42:20,+1-206-362-2809,+1-514-212-7302,645
2025-03-28 07:47:47,+1-930-935-9130,+1-336-189-9745,69
2025-03-28 07:48:38,+1-274-848-0645,+1-297-161-8807,382
2025-03-28 07:49:31,+1-748-585-1270,+1-704-857-7363,127
2025-03-28 07:51:09,+1-359-262-5778,+1-289-855-6297,231
2025-03-28 07:53:42,+1-835-458-8091,+1-903-797-1284,211
2025-03-28 07:54:56,+1-712-744-3373,+1-254-401-6248,534
2025-03-28 08:00:52,+1-294-717-6550,+1-516-493-1358,596
2025-03-28 08:03:28,+1-415-337-6229,+1-936-842-0747,79
2025-03-28 08:04:00,+1-989-851-0954,+1-704-857-7363,273
2025-03-28 08:05:29,+1-716-795-8555,+1-989-851-0954,169
2025-03-28 08:13:29,+1-462-228-1770,+1-632-782-8593,394
2025-03-28 08:15:08,+1-658-793-6130,+1-678-942-4053,25
2025-03-28 08:19:12,+1-749-725-7080,+1-236-547-2333,387
2025-03-28 08:20:57,+1-571-321-1577,+1-712-744-3373,95
2025-03-28 08:23:28,+1-618-097-7960,+1-516-493-1358,588
2025-03-28 08:27:08,+1-878-935-4204,+1-668-393-4855,151
2025-03-28 08:30:03,+1-593-990-7621,+1-295-491-9949,174
2025-03-28 08:31:08,+1-516-493-1358,+1-802-264-7659,504
2025-03-28 08:31:42,+1-423-530-2854,+1-588-548-7492,656
2025-03-28 08:35:31,+1-727-779-1673,+1-652-073-8316,209
2025-03-28 08:37:10,+1-884-032-0989,+1-763-164-5072,589
2025-03-28 08:46:24,+1-507-370-8460,+1-462-228-1770,699
2025-03-28 08:46:57,+1-275-601-5225,+1-449-235-0808,24
2025-03-28 08:49:31,+1-937-135-6815,+1-734-301-0176,624
2025-03-28 08:49:36,+1-374-706-7778,+1-727-779-1673,270
2025-03-28 08:50:09,+1-803-317-5759,+1-359-262-5778,412
2025-03-28 09:01:57,+1-663-898-8447,+1-227-419-5337,525
2025-03-28 09:09:06,+1-962-339-8746,+1-862-592-7843,689
2025-03-28 09:11:59,+1-950-521-7727,+1-678-858-2833,635
2025-03-28 09:19:04,+1-316-130-7263,+1-390-017-9983,310
2025-03-28 09:22:58,+1-903-809-4876,+1-314-335-0108,107
2025-03-28 09:26:05,+1-812-427-3947,+1-523-001-0643,560
2025-03-28 09:26:12,+1-275-601-5225,+1-243-939-7757,407
2025-03-28 09:30:40,+1-524-395-9860,+1-511-785-3928,232
2025-03-28 09:33:32,+1-449-791-7606,+1-253-462-5401,584
2025-03-28 09:35:21,+1-824-878-6737,+1-520-969-7579,677
2025-03-28 09:48:46,+1-749-725-7080,+1-666-178-8353,523
2025-03-28 09:54:55,+1-793-796-0883,+1-612-667-1123,556
2025-03-28 09:56:15,+1-445-049-4194,+1-612-254-9939,93
2025-03-28 09:58:45,+1-621-644-0170,+1-265-165-1059,544
2025-03-28 10:10:38,+1-677-985-2493,+1-315-619-8944,459
2025-03-28 10:13:40,+1-635-389-0700,+1-601-962-4142,470
2025-03-28 10:17:17,+1-727-779-1673,+1-998-964-5226,193
2025-03-28 10:32:30,+1-944-545-5905,+1-449-235-0808,290
2025-03-28 10:33:37,+1-849-939-9342,+1-673-664-8733,140
2025-03-28 10:45:01,+1-445-049-4194,+1-613-620-6603,186
2025-03-28 10:59:03,+1-295-491-9949,+1-340-456-4970,493
2025-03-28 11:00:22,+1-483-545-6424,+1-344-320-8290,260
2025-03-28 11:02:07,+1-852-196-6608,+1-932-156-0196,193
2025-03-28 11:20:07,+1-206-362-2809,+1-570-611-6399,522
2025-03-28 11:21:01,+1-512-602-2354,+1-820-240-2602,537
2025-03-28 11:21:20,+1-562-450-3770,+1-633-053-2653,640
2025-03-28 11:28:54,+1-748-594-3064,+1-389-284-4458,306
2025-03-28 11:29:18,+1-512-019-3568,+1-907-077-0700,175
2025-03-28 11:34:01,+1-446-508-5927,+1-673-217-8824,400
2025-03-28 11:35:17,+1-498-562-4759,+1-406-281-1458,306
2025-03-28 11:36:17,+1-631-868-7795,+1-587-752-3881,83
2025-03-28 11:43:56,+1-292-292-4752,+1-673-664-8733,190
2025-03-28 11:56:43,+1-465-762-6841,+1-957-757-7784,512
2025-03-28 11:57:27,+1-587-227-0381,+1-389-284-4458,526
2025-03-28 11:59:45,+1-852-134-4102,+1-811-219-0374,482
2025-03-28 12:18:11,+1-901-412-4845,+1-846-914-6156,312
2025-03-28 12:21:25,+1-562-450-3770,+1-613-620-6603,209
2025-03-28 12:30:04,+1-839-653-1952,+1-982-253-5098,474
2025-03-28 12:32:31,+1-935-969-6422,+1-587-752-3881,559
2025-03-28 12:43:34,+1-603-277-4873,+1-368-109-0734,214
2025-03-28 12:43:57,+1-294-415-5975,+1-727-779-1673,665
2025-03-28 12:56:44,+1-295-042-6130,+1-243-939-7757,366
2025-03-28 12:58:10,+1-291-823-9089,+1-821-649-6861,231
2025-03-28 12:59:31,+1-417-983-6159,+1-294-415-5975,551
2025-03-28 13:00:54,+1-530-220-1574,+1-722-254-8299,178
