Timestamp,Caller Number,Receiver Number,Call Type,Duration (seconds)
2025-04-24 17:12:30,+1-842-982-3264,+1-675-614-4066,Outgoing,674
2025-04-24 20:48:52,+1-450-372-6710,+1-657-645-1011,Incoming,402
2025-04-24 21:59:31,+1-685-653-7101,+1-507-874-8862,Outgoing,2088
2025-04-24 23:21:53,+1-391-223-8970,+1-788-386-5909,Incoming,2087
2025-04-25 00:09:16,+1-323-915-3780,+1-271-115-5503,Incoming,179
2025-04-25 03:12:04,+1-986-803-8944,+1-673-654-8718,Outgoing,93
2025-04-25 03:16:57,+1-333-222-6360,+1-330-444-3975,Incoming,458
2025-04-25 03:21:45,+1-344-252-3473,+1-271-115-5503,Incoming,394
2025-04-25 04:40:36,+1-925-977-0532,+1-788-096-0504,Outgoing,1874
2025-04-25 09:10:52,+1-704-825-1116,+1-912-127-1277,Incoming,2317
2025-04-25 09:49:44,+1-657-548-4793,+1-551-971-1742,Outgoing,1485
2025-04-25 16:12:30,+1-551-971-1742,+1-874-586-3601,Incoming,91
2025-04-25 17:53:20,+1-928-938-0059,+1-621-985-1954,Outgoing,1471
2025-04-25 18:29:30,+1-295-744-1530,+1-939-872-1503,Outgoing,1186
2025-04-25 19:50:39,+1-897-856-9813,+1-210-936-0599,Outgoing,111
2025-04-25 21:07:20,+1-762-450-1267,+1-292-167-7959,Outgoing,1702
2025-04-25 21:50:58,+1-628-105-0394,+1-504-948-5791,Outgoing,428
2025-04-25 21:53:41,+1-408-667-0750,+1-309-349-9944,Incoming,2148
2025-04-25 22:55:28,+1-295-744-1530,+1-391-223-8970,Outgoing,2296
2025-04-26 05:04:37,+1-550-079-6482,+1-802-563-5091,Outgoing,600
2025-04-26 05:50:34,+1-689-469-2092,+1-392-757-9032,Incoming,2000
2025-04-26 08:21:51,+1-280-786-7759,+1-909-912-1551,Incoming,2336
2025-04-26 11:04:44,+1-333-222-6360,+1-505-976-4169,Incoming,1022
2025-04-26 11:59:49,+1-912-127-1277,+1-673-654-8718,Outgoing,793
2025-04-26 13:00:26,+1-751-389-0154,+1-747-472-2870,Incoming,1828
2025-04-26 15:24:56,+1-583-898-5078,+1-897-215-5072,Incoming,1243
2025-04-26 21:16:48,+1-684-920-5166,+1-763-782-0122,Incoming,1547
2025-04-27 00:10:04,+1-551-971-1742,+1-763-782-0122,Outgoing,612
2025-04-27 00:40:03,+1-639-138-1129,+1-802-563-5091,Incoming,1736
2025-04-27 01:48:57,+1-456-423-0422,+1-712-182-9612,Outgoing,1213
2025-04-27 02:21:36,+1-408-667-0750,+1-554-248-1354,Incoming,1832
2025-04-27 02:54:53,+1-917-898-2089,+1-482-457-2944,Incoming,981
2025-04-27 07:03:01,+1-619-708-1365,+1-292-167-7959,Outgoing,731
